응급의료기관명,소재지,연락처,위도,경도
경북대학교병원,대구광역시 중구 동덕로 130(삼덕동2가),053-200-5100,35.86625113,128.6047026
영남대학교병원,대구광역시 남구 현충로 170(대명동),053-620-4451,35.8476702,128.5842035
대구파티마병원,대구광역시 동구 아양로 99(신암동),053-940-7119,35.88384893,128.6229913
대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33(대명동),053-650-4723,35.84418911,128.5658257
칠곡경북대학교병원,대구광역시 북구 호국로 807(학정동),053-200-2100,35.95605898,128.5652233
계명대학교동산병원,대구광역시 달서구 달구벌대로 1035(신당동),053-258-6301,35.85395649,128.4802258
곽병원,대구광역시 중구 국채보상로 531(수동),053-605-3333,35.87083192,128.5886771
계명대학교대구동산병원,대구광역시 중구 달성로 56(동산동),053-250-8481,35.87017964,128.5825231
강남종합병원,대구광역시 동구 동촌로 207(방촌동),053-980-9000,35.88304785,128.6630328
대구의료원,대구광역시 서구 평리로 157(중리동),053-560-7288,35.85991949,128.5411237
드림종합병원,대구광역시 남구 대명로 153(대명동),053-640-8575,35.83961417,128.5744644
대구굿모닝병원,대구광역시 남구 성당로 224(대명동),053-620-9120,35.85312482,128.5740795
대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로 440(읍내동),053-320-2111,35.93491669,128.5492912
천주성삼병원,대구광역시 수성구 달구벌대로 3190(신매동),053-790-0555,35.8402251,128.7057208
대구보훈병원,대구광역시 달서구 월곡로 60(도원동),053-630-7119,35.80282888,128.5517122
삼일병원,대구광역시 달서구 월배로 446(송현동),053-659-3119,35.83316822,128.5542408
더블유병원,대구광역시 달서구 달구벌대로 1632(감삼동),053-550-5019,35.85264171,128.5449672
구병원,대구광역시 달서구 감삼북길 141(감삼동),053-557-7119,35.85068232,128.5413834
나사렛종합병원,대구광역시 달서구 월배로 97(진천동),053-643-3119,35.81470026,128.5250948
전남대학교병원,광주광역시 동구 제봉로 42,062-220-5555,35.1420142,126.9219842
조선대학교병원,광주광역시 동구 필문대로 365,062-220-3129,35.1385486,126.9281861
상무병원,광주광역시 서구 상무자유로 181-5,062-600-7119,35.15235996,126.8538943
광주한국병원,광주광역시 서구 월드컵4강로 223,062-380-3119,35.15589725,126.8683524
서광병원,광주광역시 서구 운천로 6,062-600-8119,35.13308061,126.8598084
동아병원,광주광역시 남구 대남대로 238,062-650-2515,35.13509357,126.9000572
광주씨티병원,광주광역시 남구 서문대로654번길 5,062-460-7119,35.11771859,126.8994969
광주기독병원,광주광역시 남구 양림로 37,062-650-5119,35.13623251,126.9115031
광주현대병원,광주광역시 북구 설죽로 291,062-570-0119,35.18567773,126.8979724
광주병원,광주광역시 북구 면앙로139번길 51,062-260-7119,35.17887964,126.9281528
광주희망병원,광주광역시 북구 하서로 429,062-608-6119,35.21348251,126.8747472
